,AP USHis interest (scaled),USHis interest (scaled)
166,0.6250000000000001,0.3766233766233766
167,0.5625000000000001,0.3246753246753246
168,0.6375000000000001,0.3636363636363636
169,0.7500000000000001,0.44155844155844154
170,0.675,0.3376623376623376
171,0.8125000000000001,0.42857142857142855
172,0.925,0.5454545454545454
173,0.0875,0.2077922077922078
174,0.0625,0.025974025974025927
175,0.26250000000000007,0.2207792207792208
176,0.55,0.45454545454545453
177,0.6125,0.4675324675324675
178,0.55,0.3896103896103896
179,0.525,0.31168831168831174
180,0.5875,0.3896103896103896
181,0.65,0.3766233766233766
182,0.6000000000000001,0.3376623376623376
183,0.7375,0.3766233766233766
184,0.7875000000000001,0.5064935064935066
185,0.0625,0.19480519480519481
186,0.037500000000000006,0.025974025974025927
187,0.2125,0.2077922077922078
188,0.4625,0.42857142857142855
189,0.4625,0.3636363636363636
190,0.42500000000000004,0.28571428571428575
191,0.375,0.24675324675324678
192,0.45000000000000007,0.3376623376623376
193,0.48750000000000004,0.3376623376623376
194,0.45000000000000007,0.24675324675324678
